timestamp,source_ip,destination_ip,protocol,packet_size,src_port,dst_port,tcp_flags,ttl,http_host,http_uri,tls_sni,full_url
1748590445.607104000,192.168.209.48,51.116.246.105,6,78,51858,443,0x0018,128,,,,
1748590445.607321000,192.168.209.48,51.116.246.105,6,54,51858,443,0x0011,128,,,,
1748590445.881021000,51.116.246.105,192.168.209.48,6,56,443,51858,0x0010,104,,,,
1748590445.881021000,51.116.246.105,192.168.209.48,6,56,443,51858,0x0010,104,,,,
1748590449.674052000,192.168.209.48,192.168.209.248,6,55,51817,53,0x0010,128,,,,
1748590449.674070000,192.168.209.48,192.168.209.248,6,55,51828,53,0x0010,128,,,,
1748590449.674081000,192.168.209.48,192.168.209.248,6,55,51825,53,0x0010,128,,,,
1748590449.674084000,192.168.209.48,192.168.209.248,6,55,51816,53,0x0010,128,,,,
1748590449.674107000,192.168.209.48,192.168.209.248,6,55,51818,53,0x0010,128,,,,
1748590449.674132000,192.168.209.48,192.168.209.248,6,55,51826,53,0x0010,128,,,,
1748590449.681761000,192.168.209.248,192.168.209.48,6,66,53,51826,0x0010,64,,,,
1748590449.681928000,192.168.209.248,192.168.209.48,6,66,53,51817,0x0010,64,,,,
1748590449.681928000,192.168.209.248,192.168.209.48,6,66,53,51825,0x0010,64,,,,
1748590449.681928000,192.168.209.248,192.168.209.48,6,66,53,51818,0x0010,64,,,,
1748590449.681928000,192.168.209.248,192.168.209.48,6,66,53,51828,0x0010,64,,,,
1748590449.681958000,192.168.209.248,192.168.209.48,6,66,53,51816,0x0010,64,,,,
1748590470.565775000,192.168.209.48,192.168.209.248,17,79,57068,53,,128,,,,
1748590470.566069000,192.168.209.48,192.168.209.248,17,79,54523,53,,128,,,,
1748590470.566237000,192.168.209.48,192.168.209.248,17,79,63173,53,,128,,,,
1748590470.601966000,192.168.209.248,192.168.209.48,17,261,53,57068,,64,,,,
1748590470.607690000,192.168.209.248,192.168.209.48,17,279,53,63173,,64,,,,
1748590470.608899000,192.168.209.248,192.168.209.48,17,249,53,54523,,64,,,,
1748590479.272437000,192.168.209.48,192.168.209.248,6,66,51925,53,0x0002,128,,,,
1748590479.276741000,192.168.209.248,192.168.209.48,6,66,53,51925,0x0012,64,,,,
1748590479.276795000,192.168.209.48,192.168.209.248,6,54,51925,53,0x0010,128,,,,
1748590479.277077000,192.168.209.48,192.168.209.248,6,56,51925,53,0x0018,128,,,,
1748590479.277105000,192.168.209.48,192.168.209.248,6,85,51925,53,0x0018,128,,,,
1748590479.282022000,192.168.209.248,192.168.209.48,6,54,53,51925,0x0010,64,,,,
1748590479.282239000,192.168.209.248,192.168.209.48,6,54,53,51925,0x0010,64,,,,
1748590479.319336000,192.168.209.48,192.168.209.248,6,66,51926,53,0x0002,128,,,,
1748590479.319477000,192.168.209.48,192.168.209.248,6,66,51927,53,0x0002,128,,,,
1748590479.319529000,192.168.209.48,192.168.209.248,6,66,51928,53,0x0002,128,,,,
1748590479.323797000,192.168.209.248,192.168.209.48,6,66,53,51926,0x0012,64,,,,
1748590479.323864000,192.168.209.48,192.168.209.248,6,54,51926,53,0x0010,128,,,,
1748590479.323905000,192.168.209.248,192.168.209.48,6,66,53,51927,0x0012,64,,,,
1748590479.323917000,192.168.209.48,192.168.209.248,6,54,51927,53,0x0010,128,,,,
1748590479.323943000,192.168.209.248,192.168.209.48,6,66,53,51928,0x0012,64,,,,
1748590479.323955000,192.168.209.48,192.168.209.248,6,54,51928,53,0x0010,128,,,,
1748590479.324156000,192.168.209.48,192.168.209.248,6,56,51928,53,0x0018,128,,,,
1748590479.324190000,192.168.209.48,192.168.209.248,6,98,51928,53,0x0018,128,,,,
1748590479.324222000,192.168.209.48,192.168.209.248,6,56,51927,53,0x0018,128,,,,
1748590479.324233000,192.168.209.48,192.168.209.248,6,98,51927,53,0x0018,128,,,,
1748590479.324254000,192.168.209.48,192.168.209.248,6,56,51926,53,0x0018,128,,,,
1748590479.324290000,192.168.209.48,192.168.209.248,6,98,51926,53,0x0018,128,,,,
1748590479.330043000,192.168.209.248,192.168.209.48,6,54,53,51926,0x0010,64,,,,
1748590479.330087000,192.168.209.248,192.168.209.48,6,54,53,51927,0x0010,64,,,,
1748590479.330096000,192.168.209.248,192.168.209.48,6,54,53,51928,0x0010,64,,,,
1748590479.330096000,192.168.209.248,192.168.209.48,6,54,53,51927,0x0010,64,,,,
1748590479.330276000,192.168.209.248,192.168.209.48,6,54,53,51926,0x0010,64,,,,
1748590479.330415000,192.168.209.248,192.168.209.48,6,54,53,51928,0x0010,64,,,,
1748590481.296715000,192.168.209.48,192.168.209.248,6,66,51933,53,0x0002,128,,,,
1748590481.300286000,192.168.209.248,192.168.209.48,6,66,53,51933,0x0012,64,,,,
1748590481.300402000,192.168.209.48,192.168.209.248,6,54,51933,53,0x0010,128,,,,
1748590481.300643000,192.168.209.48,192.168.209.248,6,56,51933,53,0x0018,128,,,,
1748590481.300715000,192.168.209.48,192.168.209.248,6,85,51933,53,0x0018,128,,,,
1748590481.304161000,192.168.209.248,192.168.209.48,6,54,53,51933,0x0010,64,,,,
1748590481.305065000,192.168.209.248,192.168.209.48,6,54,53,51933,0x0010,64,,,,
1748590482.530185000,192.168.209.199,192.168.209.48,6,60,2560,8000,0x0002,64,,,,
1748590482.530337000,192.168.209.48,192.168.209.199,6,58,8000,2560,0x0012,128,,,,
1748590482.537673000,192.168.209.199,192.168.209.48,6,60,2560,8000,0x0004,64,,,,
1748590483.324648000,192.168.209.48,192.168.209.248,6,54,51925,53,0x0011,128,,,,
1748590489.575733000,192.168.209.199,192.168.209.48,6,60,2567,8000,0x0002,64,,,,
1748590489.575872000,192.168.209.48,192.168.209.199,6,58,8000,2567,0x0012,128,,,,
1748590489.579801000,192.168.209.199,192.168.209.48,6,60,2567,8000,0x0004,64,,,,
1748590490.578359000,192.168.209.199,192.168.209.48,6,60,2568,8000,0x0002,64,,,,
1748590490.578485000,192.168.209.48,192.168.209.199,6,58,8000,2568,0x0012,128,,,,
1748590490.582805000,192.168.209.199,192.168.209.48,6,60,2568,8000,0x0004,64,,,,
1748590491.594021000,192.168.209.199,192.168.209.48,6,60,2569,8000,0x0002,64,,,,
1748590491.594100000,192.168.209.48,192.168.209.199,6,58,8000,2569,0x0012,128,,,,
1748590491.603716000,192.168.209.199,192.168.209.48,6,60,2569,8000,0x0004,64,,,,
1748590492.594536000,192.168.209.199,192.168.209.48,6,60,2570,8000,0x0002,64,,,,
1748590492.594657000,192.168.209.48,192.168.209.199,6,58,8000,2570,0x0012,128,,,,
1748590492.599949000,192.168.209.199,192.168.209.48,6,60,2570,8000,0x0004,64,,,,
1748590493.650529000,192.168.209.199,192.168.209.48,6,60,2571,8000,0x0002,64,,,,
1748590493.650592000,192.168.209.48,192.168.209.199,6,58,8000,2571,0x0012,128,,,,
1748590493.654729000,192.168.209.199,192.168.209.48,6,60,2571,8000,0x0004,64,,,,
1748590500.735041000,192.168.209.199,192.168.209.48,6,60,2578,8000,0x0002,64,,,,
1748590500.735127000,192.168.209.48,192.168.209.199,6,58,8000,2578,0x0012,128,,,,
1748590500.739293000,192.168.209.199,192.168.209.48,6,60,2578,8000,0x0004,64,,,,
1748590501.748970000,192.168.209.199,192.168.209.48,6,60,2579,8000,0x0002,64,,,,
1748590501.749047000,192.168.209.48,192.168.209.199,6,58,8000,2579,0x0012,128,,,,
1748590501.753383000,192.168.209.199,192.168.209.48,6,60,2579,8000,0x0004,64,,,,
1748590502.927306000,192.168.209.199,192.168.209.48,6,60,2580,8000,0x0002,64,,,,
1748590502.927419000,192.168.209.48,192.168.209.199,6,58,8000,2580,0x0012,128,,,,
1748590502.936202000,192.168.209.199,192.168.209.48,6,60,2580,8000,0x0004,64,,,,
1748590503.945389000,192.168.209.199,192.168.209.48,6,60,2581,8000,0x0002,64,,,,
1748590503.945453000,192.168.209.48,192.168.209.199,6,58,8000,2581,0x0012,128,,,,
1748590503.949993000,192.168.209.199,192.168.209.48,6,60,2581,8000,0x0004,64,,,,
1748590504.950170000,192.168.209.199,192.168.209.48,6,60,2582,8000,0x0002,64,,,,
1748590511.076491000,192.168.209.199,192.168.209.48,6,60,2588,8000,0x0002,64,,,,
1748590511.076578000,192.168.209.48,192.168.209.199,6,58,8000,2588,0x0012,128,,,,
1748590511.085118000,192.168.209.199,192.168.209.48,6,60,2588,8000,0x0004,64,,,,
1748590512.306698000,192.168.209.199,192.168.209.48,6,60,2589,8000,0x0002,64,,,,
1748590512.306825000,192.168.209.48,192.168.209.199,6,58,8000,2589,0x0012,128,,,,
1748590512.319725000,192.168.209.199,192.168.209.48,6,60,2589,8000,0x0004,64,,,,
1748590513.310864000,192.168.209.199,192.168.209.48,6,60,2590,8000,0x0002,64,,,,
1748590513.310991000,192.168.209.48,192.168.209.199,6,58,8000,2590,0x0012,128,,,,
1748590513.316136000,192.168.209.199,192.168.209.48,6,60,2590,8000,0x0004,64,,,,
1748590514.316897000,192.168.209.199,192.168.209.48,6,60,2591,8000,0x0002,64,,,,
1748590514.316983000,192.168.209.48,192.168.209.199,6,58,8000,2591,0x0012,128,,,,
1748590514.328113000,192.168.209.199,192.168.209.48,6,60,2591,8000,0x0004,64,,,,
1748590515.331320000,192.168.209.199,192.168.209.48,6,60,2592,8000,0x0002,64,,,,
1748590515.331391000,192.168.209.48,192.168.209.199,6,58,8000,2592,0x0012,128,,,,
1748590515.341208000,192.168.209.199,192.168.209.48,6,60,2592,8000,0x0004,64,,,,
1748590522.397265000,192.168.209.199,192.168.209.48,6,60,2599,8000,0x0002,64,,,,
1748590522.397358000,192.168.209.48,192.168.209.199,6,58,8000,2599,0x0012,128,,,,
1748590522.403730000,192.168.209.199,192.168.209.48,6,60,2599,8000,0x0004,64,,,,
1748590522.653222000,192.168.209.48,192.168.209.248,6,55,51913,53,0x0010,128,,,,
1748590522.656809000,192.168.209.248,192.168.209.48,6,66,53,51913,0x0010,64,,,,
1748590523.404229000,192.168.209.199,192.168.209.48,6,60,2600,8000,0x0002,64,,,,
1748590523.404339000,192.168.209.48,192.168.209.199,6,58,8000,2600,0x0012,128,,,,
1748590523.410224000,192.168.209.199,192.168.209.48,6,60,2600,8000,0x0004,64,,,,
1748590524.403658000,192.168.209.199,192.168.209.48,6,60,2601,8000,0x0002,64,,,,
1748590524.403721000,192.168.209.48,192.168.209.199,6,58,8000,2601,0x0012,128,,,,
1748590524.408326000,192.168.209.199,192.168.209.48,6,60,2601,8000,0x0004,64,,,,
1748590525.464539000,192.168.209.199,192.168.209.48,6,60,2602,8000,0x0002,64,,,,
1748590525.464667000,192.168.209.48,192.168.209.199,6,58,8000,2602,0x0012,128,,,,
1748590525.469751000,192.168.209.199,192.168.209.48,6,60,2602,8000,0x0004,64,,,,
1748590526.539828000,192.168.209.199,192.168.209.48,6,60,2603,8000,0x0002,64,,,,
1748590545.170487000,192.168.209.248,192.168.209.48,6,55,53,51828,0x0018,64,,,,
1748590545.170538000,192.168.209.48,192.168.209.248,6,54,51828,53,0x0014,128,,,,
1748590545.171414000,192.168.209.248,192.168.209.48,6,362,53,51828,0x0018,64,,,,
1748590545.171435000,192.168.209.48,192.168.209.248,6,54,51828,53,0x0004,128,,,,
1748590567.662292000,192.168.209.48,192.168.209.248,6,55,51913,53,0x0010,128,,,,
1748590567.668544000,192.168.209.248,192.168.209.48,6,66,53,51913,0x0010,64,,,,
